index,alias,team_name
0,['Belgrano'],Club Atletico Belgrano
1,['EstudiantesLP'],Club Estudiantes de La Plata
2,['CAUnión'],Club Atletico Union
3,['RacingClub'],Racing Club
4,['BocaJuniors'],CA Boca Juniors
5,['Platense'],Club Atletico Platense
6,['Independiente'],CA Independiente
7,['CAColon'],CA Colon
8,['Gimnasia'],Club de Gimnasia y Esgrima de La Plata
9,['CATalleres'],CA Talleres
10,['VélezSarsfield'],CA Velez Sarsfield
11,['BarracasC.'],CA Barracas Central
12,['ArsenalSarandí'],Arsenal Futbol Club
13,['InstitutoAC'],Instituto AC Cordoba
14,['SarmientoJunin'],CA Sarmiento (Junin)
15,['Tigre'],Club Atletico Tigre
16,['RosarioCentral'],CA Rosario Central
17,['Atl.Tucumán'],Club Atletico Tucuman
18,['SanLorenzo'],CA San Lorenzo de Almagro
19,['ArgentinosJrs.'],AA Argentinos Juniors
20,['RiverPlate'],CA River Plate
21,['Huracán'],CA Huracan
22,['Banfield'],CA Banfield
23,['Newells'],CA Newells Old Boys
24,['CentralCórdoba'],CA Central Cordoba (SdE)
25,['Defensa'],Defensa Y Justicia
26,['Lanús'],Club Atletico Lanus
